"","Sample","Year","Month","Season","Sequences","Observed","Chao1","Completness","Shannon","InvSimpson","Evenness"
"X22","X22",2013,"Jan","Winter",18559,179,179.75,99.58,4.4,47.07,0.85
"X23","X23",2013,"Feb","Winter",20924,212,219.2,96.72,4.64,64.88,0.87
"X24","X24",2013,"Mar","Spring",13012,173,174.428571428571,99.18,4.42,41.08,0.86
"X25","X25",2013,"Apr","Spring",15315,213,217.2,98.07,4.64,55.47,0.87
"X26","X26",2013,"May","Spring",13448,211,216.6,97.41,4.84,84.71,0.9
"X27","X27",2013,"Jun","Summer",12381,177,191,92.67,4.73,83.03,0.91
"X28","X28",2013,"Jul","Summer",23680,107,108.5,98.62,2.3,3.96,0.49
"X29","X29",2013,"Aug","Summer",2854,66,66,100,3.8,32.62,0.91
"X30","X30",2013,"Sep","Autumn",10088,119,119.5,99.58,3.93,23.36,0.82
"X31","X31",2013,"Oct","Autumn",8809,149,159.5,93.42,4.51,58.62,0.9
"X32","X32",2013,"Nov","Autumn",10116,175,189,92.59,4.67,72.49,0.9
"X33","X33",2013,"Dec","Winter",15554,175,178.333333333333,98.13,4.4,48.37,0.85
"X34","X34",2014,"Jan","Winter",8251,120,121.5,98.77,4.24,49.07,0.88
"X35","X35",2014,"Feb","Winter",7626,128,128.75,99.42,4.17,34.79,0.86
"X36","X36",2014,"Mar","Spring",5038,94,95,98.95,3.94,29.59,0.87
"X37","X37",2014,"Apr","Spring",8640,154,159,96.86,4.55,65.32,0.9
"X38","X38",2014,"May","Spring",522,13,13,100,2,5.37,0.78
"X39","X39",2014,"Jun","Summer",12076,186,186.75,99.6,4.73,74.06,0.9
"X40","X40",2014,"Jul","Summer",7101,138,138.75,99.46,4.36,42.77,0.89
"X41","X41",2014,"Aug","Summer",9396,158,185.5,85.18,4.38,42,0.87
"X42","X42",2014,"Oct","Autumn",9655,183,184.5,99.19,4.72,74.36,0.91
"X58","X58",2014,"Dec","Winter",19916,199,217.333333333333,91.56,4.62,69.97,0.87
"X103","X103",2015,"Dec","Winter",25475,233,233,100,4.5,45.37,0.83
"X105","X105",2015,"Nov","Autumn",15684,180,180.25,99.86,4.35,39.3,0.84
"X71","X71",2015,"Jan","Winter",46815,345,358,96.37,4.71,58.03,0.81
"X72","X72",2015,"Apr","Spring",33030,379,381.8,99.27,5.16,94.36,0.87
"X73","X73",2015,"May","Spring",26788,420,433.75,96.83,5.46,152.01,0.9
"X74","X74",2015,"Jun","Summer",22833,393,445.5,88.22,5.37,126.36,0.9
"X75","X75",2015,"Jul","Summer",28701,355,358,99.16,5.15,94.96,0.88
"X76","X76",2015,"Aug","Summer",19277,270,272,99.26,4.76,45.64,0.85
"X77","X77",2015,"Oct","Autumn",12744,243,248,97.98,4.76,57.67,0.87
"X96","X96",2015,"Mar","Spring",51572,290,291.5,99.49,4.68,62.57,0.83
