Pool,Date,Aqua_day,Biomass (kg),Food (Kg)
D1,26/02/2013,0,1173,23.465
D1,06/03/2013,8,1921,11.772
D1,09/04/2013,42,2294.4,65
D1,24/04/2013,57,2409.6,65
D1,08/05/2013,71,3153.6,91
D1,12/05/2013,75,4693,104
D1,23/05/2013,86,5047.576,117
D1,06/06/2013,100,5728.499,130
D1,24/06/2013,118,7496.4,143
D1,07/07/2013,131,9058.15,143
D1,30/07/2013,154,12868.82,169
D1,13/08/2013,168,17072.64,169
D1,20/08/2013,175,12035,
D1,09/02/2014,0,330,6.6
D1,11/02/2014,2,447,8.94
D1,12/02/2014,3,429,8.58
D1,20/03/2014,39,3293,65.86
D1,29/04/2014,79,3848,146.13088
D1,15/05/2014,95,4740,156.82334
D1,02/06/2014,113,5767,138.573
D1,23/06/2014,134,5992,173.016
D1,10/07/2014,151,7280,167.776
D1,23/07/2014,164,10160,174.72
D1,05/08/2014,177,15200,203.2
D1,05/09/2014,208,9826,273.6
D1,24/03/2015,0,3478,69.56
D1,19/04/2015,26,5352,107.046
D1,10/05/2015,47,6870,137.407
D1,02/06/2015,70,7919,158.378
D1,17/06/2015,85,9296,185.922
D1,01/07/2015,99,10799,215.97
D1,14/07/2015,112,11409,228.177
D1,30/07/2015,128,12677,278.883
D1,13/08/2015,142,14210,312.6244
D1,27/08/2015,156,17215,378.73
D1,31/08/2015,160,18608,378.73
V2,23/05/2013,18,43,10
V2,20/06/2013,46,215,42
V2,07/07/2013,63,387,78
V2,16/07/2013,72,498.6,78
V2,06/08/2013,93,826,
V2,28/08/2013,115,1500,
V2,22/09/2013,140,2804,
V2,30/03/2014,0.00,2.1,0
V2,11/05/2014,42.00,932.4,186.48
V2,25/05/2014,56.00,2310,346.5
V2,08/06/2014,70.00,2680,
V2,01/04/2015,0.00,2.75,1.5
V2,28/04/2015,27.00,770,73.6
V2,06/05/2015,35.00,376,143.88
V2,11/05/2015,40.00,518,201.66
V2,25/05/2015,54.00,1422.9,
